horizon_min,pollutant,mae,rmse,mape_pct
5,CO2,14.7264,28.4258,4.4283
5,VoC,8.6348,13.5186,10.1248
5,PMS2_5,3.7781,9.8957,5.0842
5,PMS10,4.2408,12.9624,4.883
15,CO2,16.4012,39.2639,4.6018
15,VoC,8.6067,14.289,10.7302
15,PMS2_5,4.2377,10.9832,5.8735
15,PMS10,5.023,14.1374,5.9185
30,CO2,18.2576,48.3352,4.6848
30,VoC,8.6293,15.0953,11.5243
30,PMS2_5,4.809,11.823,6.768
30,PMS10,5.8963,15.2325,7.0292
60,CO2,23.0092,61.2695,5.6291
60,VoC,9.3071,17.6113,13.6116
60,PMS2_5,5.7506,13.6512,7.91
60,PMS10,7.141,17.3112,8.3382
